X,Y,Z
-73.125,121.875,-155.000
-74.244,121.315,-155.000
-75.354,120.736,-155.000
-76.411,120.066,-155.000
-77.355,119.246,-155.000
-78.188,118.312,-155.000
-78.969,117.334,-155.000
-79.743,116.350,-155.000
-80.516,115.366,-155.000
-81.289,114.382,-155.000
-82.064,113.399,-155.000
-82.874,112.447,-155.000
-83.816,111.628,-155.000
-84.940,111.093,-155.000
-86.168,110.883,-155.000
-87.414,110.949,-155.000
-88.620,111.261,-155.000
-89.726,111.832,-155.000
-90.702,112.610,-155.000
-91.604,113.479,-155.000
-92.489,114.364,-155.000
-93.379,115.243,-155.000
-94.299,116.091,-155.000
-95.291,116.850,-155.000
-96.381,117.456,-155.000
-97.560,117.860,-155.000
-98.792,118.056,-155.000
-100.042,118.084,-155.000
-101.277,117.921,-155.000
-102.432,117.468,-155.000
-103.466,116.771,-155.000
-104.419,115.961,-155.000
-105.295,115.069,-155.000
-106.051,114.075,-155.000
-106.702,113.008,-155.000
-107.309,111.913,-155.000
-107.908,110.814,-155.000
-108.488,109.705,-155.000
-108.971,108.553,-155.000
-109.257,107.339,-155.000
-109.356,106.093,-155.000
-109.364,104.842,-155.000
-109.294,103.593,-155.000
-109.069,102.365,-155.000
-108.631,101.196,-155.000
-107.996,100.121,-155.000
-107.215,99.145,-155.000
-106.356,98.236,-155.000
-105.473,97.348,-155.000
-104.588,96.463,-155.000
-103.703,95.578,-155.000
-102.818,94.693,-155.000
-101.927,93.815,-155.000
-101.008,92.966,-155.000
-100.038,92.176,-155.000
-99.023,91.444,-155.000
-97.987,90.742,-155.000
-96.948,90.044,-155.000
-95.923,89.326,-155.000
-94.936,88.557,-155.000
-94.002,87.725,-155.000
-93.104,86.852,-155.000
-92.218,85.968,-155.000
-91.334,85.084,-155.000
-90.469,84.179,-155.000
-89.705,83.189,-155.000
-89.186,82.054,-155.000
-89.008,80.817,-155.000
-89.152,79.575,-155.000
-89.589,78.406,-155.000
-90.344,77.415,-155.000
-91.333,76.652,-155.000
-92.428,76.048,-155.000
-93.557,75.507,-155.000
-94.691,74.978,-155.000
-95.825,74.448,-155.000
-96.959,73.918,-155.000
-98.083,73.370,-155.000
-99.149,72.722,-155.000
-100.025,71.844,-155.000
-100.597,70.742,-155.000
-100.861,69.528,-155.000
-100.824,68.284,-155.000
-100.554,67.065,-155.000
-100.090,65.908,-155.000
-99.367,64.901,-155.000
-98.400,64.119,-155.000
-97.284,63.563,-155.000
-96.078,63.252,-155.000
-94.834,63.145,-155.000
-93.582,63.126,-155.000
-92.331,63.125,-155.000
-91.079,63.125,-155.000
-89.828,63.125,-155.000
-88.576,63.125,-155.000
-87.325,63.134,-155.000
-86.075,63.186,-155.000
-84.830,63.311,-155.000
-83.593,63.501,-155.000
-82.361,63.719,-155.000
-81.127,63.928,-155.000
-79.881,64.034,-155.000
-78.654,63.825,-155.000
-77.584,63.184,-155.000
-76.655,62.346,-155.000
-75.756,61.475,-155.000
-74.858,60.604,-155.000
-73.959,59.733,-155.000
-73.060,58.863,-155.000
-72.161,57.992,-155.000
-71.262,57.121,-155.000
-70.363,56.250,-155.000
-69.464,55.379,-155.000
-68.565,54.509,-155.000
-67.666,53.638,-155.000
-66.768,52.767,-155.000
-65.869,51.896,-155.000
-64.970,51.025,-155.000
-64.071,50.155,-155.000
-63.172,49.284,-155.000
-62.273,48.413,-155.000
-61.374,47.542,-155.000
-60.478,46.669,-155.000
-59.615,45.763,-155.000
-58.924,44.729,-155.000
-58.925,43.564,-155.000
-59.951,42.949,-155.000
-61.187,42.758,-155.000
-62.436,42.699,-155.000
-63.682,42.817,-155.000
-64.898,43.110,-155.000
-66.092,43.488,-155.000
-67.286,43.862,-155.000
-68.501,44.157,-155.000
-69.742,44.317,-155.000
-70.992,44.368,-155.000
-72.244,44.375,-155.000
-73.495,44.375,-155.000
-74.747,44.374,-155.000
-75.998,44.363,-155.000
-77.247,44.292,-155.000
-78.478,44.075,-155.000
-79.669,43.691,-155.000
-80.827,43.217,-155.000
-81.977,42.724,-155.000
-83.128,42.231,-155.000
-84.277,41.735,-155.000
-85.412,41.209,-155.000
-86.490,40.578,-155.000
-87.457,39.787,-155.000
-88.313,38.875,-155.000
-89.096,37.899,-155.000
-89.794,36.862,-155.000
-90.376,35.756,-155.000
-90.867,34.605,-155.000
-91.322,33.439,-155.000
-91.771,32.270,-155.000
-92.215,31.100,-155.000
-92.616,29.916,-155.000
-92.894,28.698,-155.000
-92.997,27.453,-155.000
-92.977,26.202,-155.000
-92.914,24.952,-155.000
-92.845,23.702,-155.000
-92.775,22.453,-155.000
-92.706,21.203,-155.000
-92.629,19.954,-155.000
-92.506,18.710,-155.000
-92.257,17.486,-155.000
-91.846,16.306,-155.000
-91.325,15.168,-155.000
-90.751,14.057,-155.000
-90.111,12.983,-155.000
-89.367,11.978,-155.000
-88.532,11.047,-155.000
-87.655,10.155,-155.000
-86.770,9.270,-155.000
-85.877,8.392,-155.000
-84.944,7.560,-155.000
-83.925,6.838,-155.000
-82.822,6.250,-155.000
-81.679,5.742,-155.000
-80.526,5.254,-155.000
-79.373,4.769,-155.000
-78.219,4.283,-155.000
-77.066,3.798,-155.000
-75.913,3.312,-155.000
-74.763,2.817,-155.000
-73.642,2.264,-155.000
-72.608,1.567,-155.000
-71.744,0.673,-155.000
-71.171,-0.423,-155.000
-71.042,-1.649,-155.000
-71.253,-2.878,-155.000
-71.570,-4.088,-155.000
-71.893,-5.298,-155.000
-72.180,-6.516,-155.000
